Symbol,Date,ESG Score,Environment,Emissions,Resource Use,Innovation,Social,Human Rights,Product Responsibility,Workforce,Community,Governance,Management,Shareholders,CSR Strategy
ITRI,2021-06-19,79,85,96,99,74,77,93,76,50,82,73,82,70,30
ITT,2021-06-19,69,78,61,66,92,63,59,91,44,58,64,67,62,52
ITW,2021-06-19,67,63,57,70,62,67,55,56,75,87,74,81,47,78
IVAC,2021-06-19,33,7,18,4,0,17,0,10,10,53,73,96,46,0
IVC,2021-06-19,61,43,25,58,50,60,46,73,53,64,72,97,10,39
IVR,2021-06-19,17,0,0,0,0,26,0,42,9,37,28,19,78,0
IVZ,2021-06-19,75,51,89,71,28,70,3,46,94,77,87,90,71,96
J,2021-06-19,71,93,91,97,93,87,96,70,88,83,19,7,23,72
JACK,2021-06-19,48,24,13,38,0,50,77,44,25,61,65,70,92,0
JBGS,2021-06-19,56,72,93,64,24,54,0,95,46,46,39,26,55,85
JBHT,2021-06-19,56,49,64,31,50,51,0,74,45,80,72,80,65,39
JBL,2021-06-19,73,77,78,73,82,67,71,42,72,68,75,83,69,45
JBLU,2021-06-19,56,55,82,33,50,40,22,10,46,75,81,99,38,57
JBSS,2021-06-19,18,16,9,26,0,23,24,4,18,58,11,7,33,0
JBT,2021-06-19,40,39,31,16,52,21,0,38,13,36,66,74,65,31
JCOM,2021-06-19,34,0,0,0,0,22,0,35,21,23,55,55,90,0
JEF,2021-06-19,50,5,23,0,0,49,0,46,28,77,64,54,95,69
JELD,2021-06-19,40,46,47,50,43,41,52,17,46,41,32,36,24,24
JJSF,2021-06-19,29,9,3,17,0,33,64,14,9,46,44,59,22,0
JKHY,2021-06-19,24,0,0,0,0,26,0,35,15,35,30,17,96,0
JLL,2021-06-19,80,70,71,91,35,83,82,32,86,99,86,95,56,85
JNCE,2021-06-19,36,0,0,0,0,35,0,26,36,50,60,89,6,0
JNJ,2021-06-19,88,92,94,99,59,97,95,97,99,99,71,68,63,96
JNPR,2021-06-19,79,86,83,87,88,83,62,89,77,87,71,76,52,69
JOE,2021-06-19,34,9,25,0,0,33,0,32,10,81,58,59,93,0
JOUT,2021-06-19,38,23,0,0,50,26,8,41,13,20,60,83,21,0
JPM,2021-06-19,82,81,71,85,83,83,96,76,74,92,80,96,36,69
JWN,2021-06-19,78,84,70,98,78,78,81,57,75,97,72,80,54,64
JYNT,2021-06-19,23,8,21,0,0,19,0,0,33,42,34,31,67,0
K,2021-06-19,83,81,82,92,26,89,84,95,77,99,76,86,30,96
KAI,2021-06-19,50,57,43,66,60,42,43,8,62,56,50,36,82,72
KALA,2021-06-19,13,0,0,0,0,16,0,15,7,48,20,27,10,0
KALU,2021-06-19,44,30,20,35,50,39,26,90,31,56,74,92,27,52
KAMN,2021-06-19,18,6,20,6,0,33,35,8,30,56,14,15,21,0
KAR,2021-06-19,39,0,0,0,0,32,0,28,16,68,66,76,75,0
KBAL,2021-06-19,51,48,59,75,0,58,85,28,29,73,45,41,88,0
KBH,2021-06-19,64,65,59,54,77,50,0,83,49,99,84,94,59,69
KBR,2021-06-19,81,65,69,78,53,93,87,98,94,91,76,97,10,68
KDMN,2021-06-19,28,0,0,0,0,18,0,14,18,48,64,92,14,0
KDNY,2021-06-19,26,0,0,0,0,49,0,28,29,90,24,26,31,0
KDP,2021-06-19,58,73,47,95,82,62,70,67,36,72,31,24,20,85
KE,2021-06-19,41,39,64,64,0,53,27,93,38,78,24,20,40,24
KELYA,2021-06-19,77,61,83,87,0,88,96,80,83,90,74,88,16,91
KERN,2021-06-19,17,0,0,0,0,30,0,35,14,45,12,11,24,0
KEX,2021-06-19,51,43,66,8,50,62,72,89,40,59,46,52,39,23
KEY,2021-06-19,69,58,87,58,51,67,39,76,61,94,75,76,74,69
KEYS,2021-06-19,75,79,87,92,70,92,93,98,96,82,48,30,94,69
KFRC,2021-06-19,37,16,47,0,0,35,0,28,25,90,55,69,45,0
KFY,2021-06-19,47,11,32,0,0,44,20,28,46,83,75,93,51,24
KHC,2021-06-19,66,63,42,80,88,71,75,64,65,82,62,55,73,85
KIDS,2021-06-19,5,0,0,0,0,6,0,0,11,16,7,3,26,0
KIM,2021-06-19,81,70,87,51,78,87,53,90,92,88,89,89,90,85
KIN,2021-06-19,39,0,0,0,0,34,0,28,28,51,69,98,20,0
KIRK,2021-06-19,30,24,11,22,49,32,0,26,20,65,31,36,39,0
KKR,2021-06-19,28,13,15,0,17,59,21,47,34,93,7,2,1,43
KLAC,2021-06-19,51,43,48,50,33,53,77,6,53,56,60,71,31,44
KLDO,2021-06-19,26,0,0,0,0,52,0,77,33,51,20,21,29,0
KLR,2021-06-19,42,20,30,36,0,41,27,49,42,56,76,69,99,75
KLXE,2021-06-19,13,0,0,0,0,18,0,68,18,24,22,9,78,0
KMB,2021-06-19,73,71,74,60,80,72,89,65,53,84,78,89,29,96
KMI,2021-06-19,83,86,88,85,84,85,82,68,93,90,76,88,30,85
KMPR,2021-06-19,48,15,20,56,0,37,17,36,34,52,71,91,47,6
KMT,2021-06-19,48,18,26,51,1,56,51,69,51,56,73,87,40,51
KMX,2021-06-19,39,14,18,19,0,37,0,26,43,65,53,52,95,0
KNL,2021-06-19,72,66,57,97,37,65,72,99,69,30,83,87,65,92
KNSA,2021-06-19,30,0,0,0,0,31,0,0,55,51,48,57,49,0
KNSL,2021-06-19,30,1,6,0,0,28,0,36,32,34,41,55,21,0
KNX,2021-06-19,27,9,24,0,0,25,0,22,15,59,53,49,100,0
KO,2021-06-19,66,53,31,72,59,79,86,76,84,61,57,51,47,100
KOD,2021-06-19,14,0,0,0,0,25,0,0,30,51,14,13,27,0
KODK,2021-06-19,39,40,35,47,41,43,18,64,62,48,32,33,47,7
KOP,2021-06-19,39,19,19,13,26,34,41,16,23,48,81,90,55,69
KPTI,2021-06-19,43,0,0,0,0,76,0,75,81,89,42,59,12,0
KR,2021-06-19,77,90,89,98,77,86,81,99,66,96,52,38,87,72
KRA,2021-06-19,58,45,63,46,26,66,70,97,24,76,71,85,22,69
KRC,2021-06-19,75,88,98,95,23,72,36,42,84,88,63,68,30,87
KREF,2021-06-19,14,0,0,0,0,24,0,42,3,37,22,26,25,0
KRG,2021-06-19,29,6,8,5,0,37,0,42,15,61,50,53,76,0
KRMD,2021-06-19,18,22,11,0,50,4,0,0,5,11,34,30,73,0
KRNY,2021-06-19,13,0,0,0,0,11,0,31,8,11,21,16,49,0
KRO,2021-06-19,23,23,12,32,26,21,0,56,20,32,25,29,29,0
KRON,2021-06-19,19,0,0,0,0,45,0,26,83,50,7,1,33,0
KRTX,2021-06-19,11,0,0,0,0,26,0,28,44,20,5,6,4,0
KRUS,2021-06-19,27,6,13,0,0,47,0,79,42,30,18,11,52,0
KRYS,2021-06-19,21,0,0,0,0,43,0,55,29,50,14,17,14,0
KSS,2021-06-19,70,60,71,63,5,72,50,68,66,89,76,92,34,54
KSU,2021-06-19,62,69,92,63,50,43,0,22,54,79,79,73,96,85
KTOS,2021-06-19,30,20,0,0,56,7,0,10,2,21,68,93,30,0
KURA,2021-06-19,30,0,0,0,0,51,0,77,26,51,32,36,39,0
KVHI,2021-06-19,38,0,0,0,0,29,18,38,16,30,69,79,79,0
KW,2021-06-19,42,40,44,54,13,50,7,32,35,96,36,21,85,37
KWR,2021-06-19,12,4,0,12,0,21,22,16,15,29,11,16,1,0
KZR,2021-06-19,32,0,0,0,0,53,0,77,36,51,36,46,25,0
L,2021-06-19,36,21,45,62,0,35,0,36,35,53,42,39,82,0
LAD,2021-06-19,56,30,23,22,49,57,0,65,45,93,69,92,8,45
LAKE,2021-06-19,23,24,0,9,55,24,0,44,24,32,20,22,28,0
LAMR,2021-06-19,32,17,33,5,0,48,0,42,49,61,34,48,11,0
LANC,2021-06-19,24,5,0,11,0,27,2,51,9,48,40,51,32,0
LAND,2021-06-19,86,89,92,88,77,90,90,94,97,82,79,90,44,75
LARK,2021-06-19,32,0,0,0,0,28,0,31,30,45,49,55,61,0
LASR,2021-06-19,18,0,0,0,0,36,0,88,26,58,9,6,26,0
LAUR,2021-06-19,19,0,0,0,0,41,0,43,3,82,14,14,20,0
LAWS,2021-06-19,33,1,0,5,0,48,83,38,14,41,53,63,47,12
LB,2021-06-19,51,56,64,82,10,54,45,65,66,40,44,49,59,0
LBAI,2021-06-19,42,0,0,0,0,45,0,75,44,62,55,77,16,0
LBC,2021-06-19,43,0,0,0,0,33,0,31,33,62,73,99,28,6
LBRDA,2021-06-19,11,0,0,0,0,17,0,34,1,25,8,10,6,0
LBRT,2021-06-19,16,6,13,0,0,24,16,21,7,58,17,14,39,0
LC,2021-06-19,36,2,11,0,0,29,0,31,32,45,61,79,42,0
LCI,2021-06-19,43,18,5,34,0,59,62,69,40,68,36,37,41,24
LCII,2021-06-19,45,51,61,42,50,44,0,62,21,59,45,40,89,0
LCNB,2021-06-19,29,2,11,0,0,12,0,31,10,12,62,71,74,0
LCUT,2021-06-19,24,5,17,0,0,17,0,23,14,39,60,72,58,0
LDL,2021-06-19,53,39,4,26,60,44,53,38,19,58,81,95,90,0
LDOS,2021-06-19,78,71,84,84,55,91,65,99,90,97,68,78,33,69
LE,2021-06-19,43,50,71,65,0,47,21,63,26,65,34,46,20,0
LEA,2021-06-19,70,51,73,56,36,75,93,64,59,75,90,98,77,69
LEAF,2021-06-19,37,7,5,16,0,32,0,35,24,46,51,75,5,0
LECO,2021-06-19,54,41,68,72,16,62,56,83,52,60,60,78,9,43
LEG,2021-06-19,47,56,25,57,76,36,43,21,39,42,52,61,32,39
LEGH,2021-06-19,20,3,11,0,0,24,0,54,12,44,37,37,60,0
LEN,2021-06-19,25,29,11,0,60,18,0,17,8,62,28,32,36,0
LEVL,2021-06-19,49,0,0,0,0,46,0,75,46,62,72,92,57,0
LFUS,2021-06-19,45,48,4,37,74,43,37,38,10,82,44,43,76,0
LFVN,2021-06-19,25,6,0,13,0,34,0,58,44,48,25,8,99,0
LGIH,2021-06-19,28,22,13,0,43,19,0,17,11,60,51,70,25,0
LGND,2021-06-19,27,0,0,0,0,23,0,0,20,51,47,62,30,0
LH,2021-06-19,68,41,52,43,0,81,91,81,64,88,65,72,56,39
LHCG,2021-06-19,36,8,21,0,0,36,0,22,44,69,50,66,32,0
LHX,2021-06-19,65,56,78,89,10,67,61,42,85,75,67,78,28,72
LII,2021-06-19,49,55,64,81,40,43,20,9,59,92,49,40,69,60
LILA,2021-06-19,18,0,0,0,0,16,5,17,8,42,36,30,83,0
LIND,2021-06-19,22,6,13,0,0,18,0,18,5,46,43,43,75,0
LITE,2021-06-19,42,57,7,46,88,48,35,70,23,43,28,14,95,0
LIVX,2021-06-19,16,0,0,0,0,21,0,33,15,31,15,13,33,0
LJPC,2021-06-19,31,0,0,0,0,58,0,77,60,51,26,10,97,0
LKFN,2021-06-19,36,0,0,0,0,32,0,32,27,64,57,61,81,0
LKQ,2021-06-19,20,1,3,0,0,25,20,22,11,53,38,41,53,0
LL,2021-06-19,42,11,0,33,0,60,79,69,29,65,37,54,6,0
LLNW,2021-06-19,43,0,0,0,0,34,0,35,71,31,63,76,63,0
LLY,2021-06-19,68,80,72,93,59,86,68,97,94,93,32,28,25,62
LMAT,2021-06-19,24,0,0,0,0,27,0,60,2,34,31,29,56,0
LMND,2021-06-19,18,4,20,0,0,27,0,36,28,34,12,13,16,0
LMNR,2021-06-19,22,19,15,22,26,25,0,38,8,59,18,25,7,0
LMNX,2021-06-19,42,0,0,0,0,46,32,48,36,65,58,68,62,0
LMST,2021-06-19,33,0,0,0,0,14,0,31,19,4,72,91,59,0
LMT,2021-06-19,69,85,91,90,76,72,38,81,90,95,54,44,57,96
LNC,2021-06-19,57,42,88,95,9,63,67,36,53,92,56,52,58,76
LNDC,2021-06-19,22,4,9,0,0,19,0,28,8,46,47,43,90,0
LNG,2021-06-19,62,76,94,70,34,52,0,87,87,75,61,47,91,85
LNN,2021-06-19,30,15,6,24,16,41,0,55,60,60,34,45,3,25
LNT,2021-06-19,56,69,86,50,68,39,0,48,35,73,55,62,32,52
LNTH,2021-06-19,42,5,0,17,0,45,10,46,64,64,54,79,9,0
LOB,2021-06-19,31,0,0,0,0,43,0,31,58,62,27,31,34,0
LOCO,2021-06-19,30,6,13,0,0,44,0,66,21,61,32,21,90,0
LOGC,2021-06-19,10,0,0,0,0,10,0,14,3,31,17,19,19,0
LOPE,2021-06-19,62,53,50,65,0,56,86,43,61,55,75,80,95,23
LORL,2021-06-19,8,2,0,7,0,17,0,0,17,42,2,2,5,0
LOVE,2021-06-19,10,0,0,0,0,18,0,21,18,42,10,9,19,0
LOW,2021-06-19,79,76,93,77,49,83,67,85,84,91,75,84,37,87
LPI,2021-06-19,41,24,42,28,0,51,46,30,64,58,50,48,65,37
LPLA,2021-06-19,78,75,94,64,71,79,76,46,92,86,78,97,18,69
LPSN,2021-06-19,31,0,0,0,0,29,0,35,8,45,41,57,16,0
LPX,2021-06-19,32,20,9,23,29,23,0,37,25,44,68,88,42,7
LQDA,2021-06-19,33,0,0,0,0,47,0,28,85,51,43,48,53,0
LQDT,2021-06-19,31,12,5,34,0,46,29,35,30,68,24,33,9,0
LRCX,2021-06-19,66,70,89,97,33,78,60,88,84,91,43,32,65,69
LRN,2021-06-19,21,0,0,0,0,35,0,41,28,45,25,24,41,0
LSCC,2021-06-19,28,21,22,6,33,20,8,7,18,58,49,62,37,0
LSI,2021-06-19,33,2,0,5,0,34,0,42,33,37,66,91,27,0
LSTR,2021-06-19,38,9,24,0,0,46,0,88,53,41,63,87,18,6
LTC,2021-06-19,44,18,16,25,0,58,61,42,68,59,61,80,37,0
LTHM,2021-06-19,44,34,44,31,26,37,41,16,38,48,74,68,97,69
LTRPA,2021-06-19,14,0,0,0,0,20,0,35,13,20,13,18,2,0
LUMN,2021-06-19,57,56,49,59,62,51,35,55,48,74,68,84,34,37
LUNA,2021-06-19,15,0,0,0,0,13,0,9,4,41,34,38,45,0
LUV,2021-06-19,69,84,96,87,50,76,65,63,78,95,43,29,61,85
LVS,2021-06-19,57,83,77,92,66,44,31,18,63,85,52,52,29,85
LXP,2021-06-19,39,6,8,5,0,53,0,42,35,88,66,78,73,0
LXRX,2021-06-19,28,0,0,0,0,63,0,94,56,51,14,18,8,0
LXU,2021-06-19,18,11,5,0,26,10,0,0,12,38,44,48,58,0
LYFT,2021-06-19,35,0,0,0,0,40,0,35,73,46,41,42,64,0
LYRA,2021-06-19,38,0,0,0,0,49,0,55,53,50,53,72,23,0
LYTS,2021-06-19,23,7,0,0,16,20,0,55,7,29,50,53,74,0
LYV,2021-06-19,36,9,21,0,0,33,0,18,33,85,65,86,37,0
LZB,2021-06-19,52,31,72,41,0,55,74,21,36,83,74,98,27,24
M,2021-06-19,67,51,31,81,0,66,50,17,90,96,83,93,79,37
MA,2021-06-19,69,77,94,95,55,71,62,35,93,90,64,64,54,81
MAA,2021-06-19,58,54,69,47,24,62,30,42,55,88,59,55,66,69
MAC,2021-06-19,81,89,92,89,78,76,92,42,75,96,77,75,80,85
MAN,2021-06-19,76,59,80,85,0,87,96,69,94,84,73,77,52,80
MANH,2021-06-19,43,0,0,0,0,52,54,35,47,68,48,66,15,6
MANT,2021-06-19,51,25,36,50,0,74,42,82,55,90,39,57,1,6
MAR,2021-06-19,77,85,97,83,24,84,98,66,95,98,60,59,45,85
MAS,2021-06-19,56,62,39,57,79,45,21,72,37,65,65,76,28,68
MASI,2021-06-19,23,3,0,9,0,29,16,48,9,34,24,7,94,6
MAT,2021-06-19,62,34,55,70,0,81,93,92,72,59,45,52,51,6
MATW,2021-06-19,29,15,0,0,50,37,0,33,44,65,24,11,72,16
MATX,2021-06-19,47,42,80,43,0,43,0,59,48,59,58,79,17,14
MBCN,2021-06-19,15,0,0,0,0,14,0,32,13,14,22,26,20,0
MBI,2021-06-19,16,0,0,0,0,25,0,36,5,52,13,15,12,0
MBII,2021-06-19,19,9,0,0,26,14,0,16,7,48,44,53,31,16
MBIN,2021-06-19,27,0,0,0,0,30,0,31,15,77,34,41,33,0
MBIO,2021-06-19,13,0,0,0,0,17,0,28,28,4,18,1,87,0
MBUU,2021-06-19,37,4,14,0,0,45,18,61,58,32,37,34,55,24
MBWM,2021-06-19,32,0,0,0,0,24,0,31,36,20,55,80,8,0
MCBC,2021-06-19,35,0,0,0,0,34,0,31,59,26,50,72,9,0
MCBS,2021-06-19,31,2,9,0,0,32,0,32,39,48,41,39,71,0
MCD,2021-06-19,69,88,89,97,24,75,67,94,61,61,42,47,20,52
MCF,2021-06-19,17,2,6,0,0,15,0,30,19,24,43,36,92,0
MCFT,2021-06-19,35,10,14,23,0,49,0,62,63,59,25,24,49,0
MCHP,2021-06-19,61,57,67,23,77,64,86,32,42,78,61,68,25,82
MCK,2021-06-19,60,59,82,62,0,48,20,46,42,88,79,81,79,72
MCO,2021-06-19,71,58,81,82,0,62,32,28,89,99,92,93,92,85
MCRB,2021-06-19,30,0,0,0,0,65,0,77,43,79,17,22,13,0
MCRI,2021-06-19,21,0,0,0,0,32,0,51,36,20,23,8,90,0
MCS,2021-06-19,29,0,0,0,0,24,0,18,13,61,65,86,39,0
MCY,2021-06-19,36,1,6,0,0,36,0,36,30,63,49,49,84,0
MD,2021-06-19,33,0,0,0,0,23,0,22,16,43,62,79,43,0
MDB,2021-06-19,26,0,0,0,0,43,0,35,39,68,19,13,53,0
MDC,2021-06-19,34,29,31,4,43,28,0,17,50,62,52,70,24,0
MDGL,2021-06-19,22,0,0,0,0,29,0,0,45,51,30,33,37,0
MDLA,2021-06-19,32,15,32,25,0,51,20,34,71,67,20,13,31,39
MDLZ,2021-06-19,74,86,85,93,57,81,61,92,86,87,48,33,82,76
MDP,2021-06-19,46,75,87,85,50,45,0,33,45,96,37,44,1,54
MDRX,2021-06-19,31,6,3,18,0,43,46,15,55,64,27,15,67,24
MDT,2021-06-19,65,78,89,100,50,89,94,73,94,98,29,9,79,51
MDU,2021-06-19,40,19,23,15,20,37,66,14,22,42,82,97,63,37
MDXG,2021-06-19,40,12,34,0,0,72,0,77,57,90,30,15,98,0
MED,2021-06-19,29,2,0,5,0,29,12,28,26,58,60,70,69,0
MEDP,2021-06-19,12,0,0,0,0,30,0,28,70,14,4,4,7,0
MEI,2021-06-19,47,41,21,29,81,44,43,79,19,53,58,76,37,0
MEIP,2021-06-19,50,40,35,50,0,76,0,75,82,89,34,31,64,0
MESA,2021-06-19,24,0,0,0,0,17,0,24,8,43,61,61,100,0
MET,2021-06-19,54,84,98,91,77,74,9,83,80,99,20,8,13,85
MFA,2021-06-19,41,26,33,25,0,44,0,42,40,59,56,70,48,0
MFNC,2021-06-19,28,0,0,0,0,35,0,31,48,45,28,34,29,0
MG,2021-06-19,27,24,0,0,80,20,0,72,17,24,43,38,91,0
MGEE,2021-06-19,30,40,62,24,29,19,11,16,13,37,29,25,34,37
MGI,2021-06-19,20,0,0,0,0,24,0,28,14,59,30,23,74,0
MGLN,2021-06-19,27,0,0,0,0,42,40,22,37,69,22,8,85,0
MGM,2021-06-19,62,83,81,88,66,53,47,18,80,97,57,66,30,52
MGNI,2021-06-19,40,0,0,0,0,30,0,35,11,46,60,72,62,0
MGNX,2021-06-19,38,0,0,0,0,66,72,75,77,50,38,47,36,0
MGP,2021-06-19,16,3,8,0,0,37,29,42,11,59,11,15,6,0
MGPI,2021-06-19,41,17,22,8,31,37,0,55,42,71,77,94,74,0
MGRC,2021-06-19,43,21,28,3,37,27,0,28,25,60,80,98,73,0
MGTA,2021-06-19,18,0,0,0,0,24,0,28,34,20,25,37,1,0
MGTX,2021-06-19,35,0,0,0,0,30,0,47,36,48,68,93,29,0
MGY,2021-06-19,14,2,6,0,0,12,0,30,12,24,34,33,59,0
MHH,2021-06-19,20,4,11,0,0,18,0,28,14,37,35,40,43,0
MHK,2021-06-19,57,52,65,86,27,57,51,54,41,86,62,59,68,69
MHO,2021-06-19,22,23,0,15,43,15,0,17,8,44,33,33,53,0
MIC,2021-06-19,38,24,15,25,50,28,1,11,31,66,68,91,37,0
MIDD,2021-06-19,41,23,13,32,25,32,0,26,49,65,78,83,96,25
MIRM,2021-06-19,21,0,0,0,0,46,0,26,85,50,13,5,50,0
MITK,2021-06-19,36,0,0,0,0,32,0,35,28,45,50,67,24,0
MITT,2021-06-19,22,0,0,0,0,30,0,42,21,37,40,50,34,0
MKC,2021-06-19,70,86,87,96,26,60,42,60,62,82,73,86,30,69
MKL,2021-06-19,39,6,20,11,0,34,0,36,35,52,56,71,44,0
MKSI,2021-06-19,29,23,0,6,41,29,0,38,27,56,38,53,4,14
MKTX,2021-06-19,53,4,0,17,0,74,59,46,73,92,51,38,83,69
MLAB,2021-06-19,22,9,0,0,16,27,0,38,20,56,30,19,82,6
MLHR,2021-06-19,67,77,86,98,37,92,97,100,97,76,27,23,12,68
MLI,2021-06-19,29,8,30,0,0,18,0,9,5,58,70,94,23,16
MLM,2021-06-19,39,21,45,13,0,36,29,33,19,69,78,74,89,80
MLP,2021-06-19,20,0,0,0,0,22,0,0,17,48,38,49,24,0
MLR,2021-06-19,24,0,0,0,0,14,5,4,14,40,76,95,63,0
MLSS,2021-06-19,10,4,11,0,0,4,0,0,5,11,21,12,64,0
MMAC,2021-06-19,16,4,0,0,8,30,0,46,8,45,8,5,23,0
MMC,2021-06-19,52,30,71,46,10,57,52,36,57,78,55,62,28,59
MMM,2021-06-19,88,86,83,87,87,96,95,96,95,99,79,82,59,96
MMS,2021-06-19,33,1,0,3,0,28,0,28,27,60,62,79,48,0
MMSI,2021-06-19,69,47,43,49,50,80,80,74,70,94,64,77,47,23
MNKD,2021-06-19,36,0,0,0,0,42,0,28,64,51,53,76,14,0
MNOV,2021-06-19,20,0,0,0,0,38,0,28,45,51,17,13,41,0
MNR,2021-06-19,34,3,0,0,24,51,60,42,43,61,55,77,17,0
MNRO,2021-06-19,40,11,28,0,0,31,0,0,26,83,65,68,98,0
MNSB,2021-06-19,18,0,0,0,0,22,0,32,12,48,19,17,37,0
MNST,2021-06-19,39,18,12,30,0,44,86,19,23,33,54,72,16,23
MNTX,2021-06-19,9,0,0,0,0,5,0,0,1,17,24,21,53,0
MO,2021-06-19,89,89,100,86,55,93,93,87,98,95,81,80,79,85
MOD,2021-06-19,41,39,18,45,49,32,3,22,51,74,59,69,27,59
MODN,2021-06-19,18,0,0,0,0,39,0,35,66,45,5,6,8,0
MODV,2021-06-19,27,0,0,0,0,51,0,69,41,69,11,5,38,0
MOFG,2021-06-19,38,0,0,0,0,39,0,31,48,62,53,74,19,0
MOH,2021-06-19,37,22,29,23,0,34,0,22,17,81,47,62,28,0
MORF,2021-06-19,21,0,0,0,0,21,0,15,27,48,36,42,43,0
MORN,2021-06-19,37,11,0,0,37,21,0,28,34,30,75,87,86,0
MOS,2021-06-19,69,50,72,79,0,80,70,73,86,100,84,87,64,100
MOV,2021-06-19,27,8,0,23,0,27,30,16,26,41,36,53,3,0
MOVE,2021-06-19,41,35,47,3,50,47,0,74,62,52,34,19,91,23
MPAA,2021-06-19,30,24,0,4,49,24,9,48,12,40,49,65,27,0
MPB,2021-06-19,23,2,11,0,0,30,0,31,41,37,21,22,30,0
MPC,2021-06-19,72,57,79,60,30,77,95,80,48,82,84,84,75,98
MPW,2021-06-19,52,28,28,35,0,52,56,42,52,59,80,95,56,39
MPWR,2021-06-19,29,0,0,0,0,31,20,32,38,42,62,71,74,0
MPX,2021-06-19,17,0,0,0,0,18,0,15,30,32,21,31,1,0
MRBK,2021-06-19,21,0,0,0,0,22,0,32,1,64,30,23,72,0
MRC,2021-06-19,47,29,46,79,0,60,74,9,61,88,51,52,36,69
MRCY,2021-06-19,35,37,71,40,0,24,3,42,13,54,48,47,57,37
MRK,2021-06-19,81,80,92,94,0,93,81,97,99,100,62,57,56,96
MRKR,2021-06-19,14,0,0,0,0,19,0,26,30,10,19,16,41,0
MRLN,2021-06-19,34,0,0,0,0,35,0,32,53,38,47,58,44,0
MRNA,2021-06-19,47,39,34,50,0,59,0,28,91,80,42,57,20,0
MRNS,2021-06-19,12,0,0,0,0,19,0,14,23,48,10,4,38,0
MRO,2021-06-19,66,49,66,72,0,67,37,86,80,94,89,96,60,98
MRSN,2021-06-19,21,0,0,0,0,17,0,28,9,14,40,49,35,0
MRTN,2021-06-19,29,5,8,8,0,23,1,22,24,41,64,73,79,0
MRTX,2021-06-19,37,0,0,0,0,76,0,75,81,89,27,36,14,0
MS,2021-06-19,59,82,63,84,88,73,76,46,66,92,40,21,94,52
MSA,2021-06-19,71,25,35,35,0,86,96,85,80,79,83,99,69,23
MSBI,2021-06-19,32,3,4,13,0,31,0,31,28,62,46,53,52,0
MSCI,2021-06-19,54,32,15,44,37,60,89,28,48,59,60,69,63,16
MSEX,2021-06-19,22,3,3,6,0,13,0,0,11,32,65,86,40,0
MSFT,2021-06-19,93,78,94,99,55,98,98,98,99,96,93,100,73,87
MSGN,2021-06-19,22,6,14,0,0,41,0,80,30,38,2,2,1,0
MSGS,2021-06-19,13,0,0,0,0,21,0,33,13,31,8,6,19,0
MSI,2021-06-19,80,71,95,97,43,82,94,53,99,99,83,87,77,77
MSM,2021-06-19,64,71,74,59,74,59,2,91,58,97,65,90,9,23
MSON,2021-06-19,19,0,0,0,0,26,0,16,24,65,19,3,87,0
MSTR,2021-06-19,24,0,0,0,0,30,0,35,18,45,26,39,3,0
MTB,2021-06-19,36,12,49,25,0,42,0,31,55,62,36,35,63,0
MTCH,2021-06-19,21,0,0,0,0,22,60,0,3,30,26,33,20,0
MTDR,2021-06-19,23,2,6,0,0,17,0,30,26,24,65,70,90,6
MTEM,2021-06-19,25,0,0,0,0,38,0,26,48,50,30,30,48,0
MTG,2021-06-19,47,20,40,27,10,62,0,36,84,95,39,39,50,24
MTH,2021-06-19,41,34,34,0,56,26,0,18,15,89,72,87,70,0
MTN,2021-06-19,53,63,96,42,0,31,0,17,19,91,76,82,75,49
MTOR,2021-06-19,40,52,21,55,69,27,0,41,29,59,44,57,11,24
MTRN,2021-06-19,45,16,0,35,0,53,60,90,29,54,73,94,48,0
MTRX,2021-06-19,27,2,4,0,0,16,0,10,22,36,76,90,79,0
MTSI,2021-06-19,34,24,9,28,32,56,59,88,24,58,9,12,6,0
MTW,2021-06-19,17,0,0,0,0,21,23,9,7,41,34,34,52,6
MTX,2021-06-19,54,56,57,44,67,41,41,28,46,48,74,80,63,56
MTZ,2021-06-19,57,44,30,40,60,70,80,45,49,94,57,62,44,52
MU,2021-06-19,68,63,75,89,32,81,96,32,89,90,52,43,68,72
MUR,2021-06-19,47,38,72,39,0,31,0,30,63,44,87,88,99,69
MUSA,2021-06-19,28,2,6,0,0,28,19,30,29,43,64,94,7,0
MVBF,2021-06-19,25,0,0,0,0,29,0,32,52,12,30,16,75,31
MWA,2021-06-19,51,42,20,24,60,33,13,38,30,56,84,94,70,59
MXIM,2021-06-19,74,87,80,85,95,79,80,73,63,99,51,42,86,47
MXL,2021-06-19,36,18,5,14,32,40,42,32,27,58,50,57,56,6
MYE,2021-06-19,35,12,5,3,38,38,55,29,22,33,63,84,31,6
MYFW,2021-06-19,30,0,0,0,0,17,0,0,15,48,61,66,84,0
MYGN,2021-06-19,28,0,0,0,0,38,0,16,52,91,29,34,32,0
MYI,2021-06-19,26,21,29,0,32,30,0,50,33,25,24,28,24,4
MYOV,2021-06-19,38,0,0,0,0,37,0,28,39,51,65,82,51,0
MYRG,2021-06-19,51,26,24,35,23,63,88,0,55,73,69,76,65,39
NARI,2021-06-19,21,0,0,0,0,15,0,15,11,32,39,48,23,14
NATH,2021-06-19,19,6,14,0,0,27,38,17,34,29,20,13,59,0
NATI,2021-06-19,74,71,79,88,55,81,42,82,85,94,68,92,6,43
NATR,2021-06-19,22,0,0,0,0,23,16,21,15,46,43,51,42,0
