Symbol,Date,ESG Score,Environment,Emissions,Resource Use,Innovation,Social,Human Rights,Product Responsibility,Workforce,Community,Governance,Management,Shareholders,CSR Strategy
GMED,2021-06-19,26,0,0,0,0,28,0,15,40,64,34,37,45,0
GMS,2021-06-19,19,10,4,31,0,22,14,17,23,41,25,8,96,0
GNE,2021-06-19,11,0,0,0,0,7,0,15,1,17,36,47,26,0
GNK,2021-06-19,23,3,8,0,0,16,0,22,2,42,57,77,30,0
GNL,2021-06-19,19,0,0,0,0,29,0,42,18,37,33,36,45,0
GNLN,2021-06-19,15,0,0,0,0,19,0,0,30,55,21,3,94,0
GNPX,2021-06-19,22,0,0,0,0,40,0,59,5,51,22,30,7,0
GNRC,2021-06-19,31,2,4,5,0,33,38,9,23,58,63,78,55,0
GNSS,2021-06-19,36,20,0,0,42,32,0,17,27,64,49,57,56,0
GNTX,2021-06-19,54,38,75,44,13,54,56,64,20,85,75,99,22,37
GNTY,2021-06-19,19,0,0,0,0,23,0,0,32,42,21,13,65,0
GNW,2021-06-19,50,18,21,40,9,46,59,36,40,53,65,71,87,6
GO,2021-06-19,16,0,0,0,0,18,0,10,12,55,27,22,61,0
GOCO,2021-06-19,58,38,54,6,55,34,24,35,89,14,85,94,92,28
GOGO,2021-06-19,11,0,0,0,0,14,0,16,17,27,15,20,9,0
GOLF,2021-06-19,44,43,14,61,50,59,53,62,57,59,23,30,13,0
GOOD,2021-06-19,9,3,8,0,0,24,0,42,3,37,2,2,3,0
GOOGL,2021-06-19,69,76,86,98,55,92,84,94,98,90,47,58,3,60
GORO,2021-06-19,23,6,13,0,0,23,0,22,33,56,47,51,63,6
GOSS,2021-06-19,26,0,0,0,0,40,0,28,52,51,30,44,4,0
GPC,2021-06-19,39,33,53,74,0,26,9,4,29,75,69,77,56,52
GPI,2021-06-19,43,3,3,5,0,38,0,26,48,65,69,82,67,6
GPK,2021-06-19,60,73,69,97,38,46,51,30,48,48,66,70,34,98
GPN,2021-06-19,16,0,0,0,0,27,8,28,14,60,13,17,8,0
GPOR,2021-06-19,24,13,20,18,0,16,0,30,19,29,56,66,45,23
GPRE,2021-06-19,36,24,14,8,51,18,0,0,16,33,64,89,6,23
GPRO,2021-06-19,30,5,0,33,0,28,37,13,12,48,53,80,0,0
GPS,2021-06-19,88,85,80,90,87,92,94,79,97,98,85,98,49,72
GPX,2021-06-19,37,10,0,0,50,48,0,36,17,83,47,55,52,0
GRA,2021-06-19,63,45,56,54,26,75,93,79,40,76,72,86,37,52
GRBK,2021-06-19,24,19,0,0,43,21,0,17,18,62,36,29,82,0
GRC,2021-06-19,32,0,0,2,0,27,26,8,14,56,76,97,60,0
GRPN,2021-06-19,31,0,0,0,0,37,36,17,21,68,51,54,75,0
GRTS,2021-06-19,18,0,0,0,0,21,0,15,27,48,26,23,53,0
GRTX,2021-06-19,36,39,34,50,0,60,0,77,69,51,11,13,13,0
GRWG,2021-06-19,18,13,0,0,49,25,0,28,16,45,12,5,43,0
GS,2021-06-19,84,93,100,99,88,82,77,46,86,100,84,86,78,78
GSAT,2021-06-19,14,20,0,5,61,14,0,16,18,27,10,5,34,0
GSBC,2021-06-19,19,0,0,0,0,17,0,31,7,37,29,43,0,0
GSHD,2021-06-19,13,0,0,0,0,24,0,36,19,34,5,1,21,0
GSIT,2021-06-19,18,0,0,0,0,10,0,6,3,41,51,48,93,0
GSKY,2021-06-19,17,0,0,0,0,34,0,43,9,47,6,3,16,0
GSS,2021-06-19,40,11,0,0,32,32,17,50,33,25,52,60,63,0
GT,2021-06-19,55,57,49,81,50,68,77,88,32,75,31,16,47,85
GTHX,2021-06-19,35,0,0,0,0,58,0,28,71,90,37,41,47,0
GTLS,2021-06-19,41,43,36,9,60,23,8,8,19,56,62,60,80,49
GTN,2021-06-19,29,13,8,34,0,29,0,33,12,65,33,43,21,0
GTS,2021-06-19,33,0,0,0,0,36,0,22,44,67,46,60,30,0
GTT,2021-06-19,36,0,0,0,0,20,0,0,12,46,60,62,94,0
GTY,2021-06-19,35,16,37,0,0,28,0,42,16,37,63,90,14,0
GTYH,2021-06-19,18,0,0,0,0,30,0,35,10,46,13,3,54,0
