Facility Gov ID,GHG Year,co2,ch4,n2o
1007291,2010,35.7,28184.75,nan
1004709,2010,25111.2,11.75,14.9
1007401,2010,32606.9,15.25,17.88
1003268,2010,48719.9,18.25,20.86
1005184,2010,100496.2,47.5,56.918
1005781,2010,48286.7,49.5,118.008
1005491,2010,35638.0,16.75,19.966
1005712,2010,278084.8,770.25,1333.252
1005707,2010,251036.1,611.25,1056.41
1006412,2010,304241.2,743.0,1283.486
1007178,2010,6637.8,3.0,3.576
1004732,2010,27403.5,13.0,15.496
1005432,2010,53761.8,29.0,43.21
1004417,2010,32.6,87440.0,nan
1005327,2010,139720.8,223.25,369.52
1003883,2010,275061.1,310.5,539.38
1008041,2010,92931.0,252.0,435.08
1006354,2010,231456.9,538.75,962.54
1005751,2010,568449.1,1008.5,1717.97
1005753,2010,427029.3,1121.75,1951.9
1006877,2010,216718.3,514.5,876.12
1002552,2010,2.2,84864.0,nan
1007095,2010,4440.6,2.25,2.682
1000007,2010,284.0,0.25,0.298
1005175,2010,66166.4,31.25,37.25
1007404,2010,40155.0,19.75,22.648
1004845,2010,33106.0,15.5,18.476
1007030,2010,77464.1,38.0,47.68
1005590,2010,162773.8,608.0,579.61
1001860,2010,125412.2,59.25,70.626
1006919,2010,265127.5,723.0,1247.726
1001962,2010,673137.2,134.0,160.92
1005413,2010,26394.8,12.5,14.9
1005072,2010,27287.0,28.25,66.156
1000208,2010,586.3,0.5,0.596
1006506,2010,404.4,nan,nan
1001344,2010,501.3,0.25,0.298
1006810,2010,41809.8,14.5,17.284
1004508,2010,143399.9,57.0,69.136
1007341,2010,257.0,322900.0,nan
1002416,2010,31813.091,15.0,17.88
1007839,2010,nan,35395.704675,nan
1007933,2010,94239.8,45.0,53.64
1005969,2010,178491.7,85.5,104.3
1007565,2010,75701.9,36.25,43.806
1000035,2010,176740.0,84.25,101.32
1005392,2010,nan,25267.75,nan
1002263,2010,79316.2,37.25,8434.592
1002576,2010,30453.6,25.5,44.998
1006111,2010,49296.0,37.75,59.6
1002867,2010,44071.2,31.75,50.66
1003352,2010,60127.9,28.5,32.78
1002734,2010,18516.3,13.0,17.88
1003176,2010,50561.2,23.75,29.8
1003224,2010,19975.9,25.0,47.68
1006147,2010,57481.2,37.75,57.514
1002915,2010,22573.9,14.75,22.648
1006904,2010,32411.9,23.75,38.74
1003525,2010,49917.4,33.75,50.66
1005490,2010,78894.6,37.25,44.402
1006178,2010,nan,40430.0,nan
1006864,2010,690934.2,320.5,382.036
1006657,2010,699126.8,324.25,386.506
1004929,2010,37378.0,17.75,21.158
1004926,2010,42980.0,20.25,24.138
1005958,2010,31352.0,14.5,17.284
1004928,2010,38539.0,18.5,22.052
1005235,2010,51105.0,24.0,28.608
1007403,2010,41775.0,19.75,23.542
1004932,2010,35185.0,16.5,19.668
1004930,2010,36694.0,17.75,21.158
1004776,2010,31365.0,15.0,17.88
1005238,2010,40454.0,18.75,22.35
1004923,2010,48742.0,22.75,27.118
1004935,2010,32054.0,15.0,17.88
1005067,2010,25701.0,12.0,14.304
1005953,2010,46758.0,22.0,26.224
1005242,2010,35847.0,16.75,19.966
1005060,2010,43422.0,20.25,24.138
1004769,2010,38857.0,18.5,22.052
1005243,2010,28860.0,13.5,16.092
1004937,2010,27520.0,13.25,15.794
1005244,2010,27599.0,13.0,15.496
1005236,2010,41294.0,19.25,22.946
1004925,2010,44978.0,21.25,25.33
1004933,2010,34487.0,16.25,19.37
1004802,2010,17506.0,8.25,9.834
1007710,2010,104.886729,74735.499375,0.191018
1004003,2010,nan,133527.5,nan
1001908,2010,19995.1,9.5,652706.718
1006777,2010,22.0,395177.0,nan
1004352,2010,1178.5,54286.0,2.98
1005669,2010,104217.6,2025.5,3716.358
1002596,2010,31446.5,19.5,26.224
1002434,2010,98998.2,289.25,500.64
1001423,2010,6342.3,2.75,3.278
1001422,2010,779002.0,362.5,432.1
1007510,2010,173.2,0.25,0.298
1000579,2010,407.6,nan,0.298
1005906,2010,34911.6,13.75,16.39
1005055,2010,7120.2,719.0,1125.248
1003962,2010,6351323.4,592.0,1349.642
1003668,2010,219971.0,63.0,75.096
1003523,2010,53084.0,25.0,29.8
1006325,2010,140154.3,24.5,26.82
1004215,2010,223252.0,42.5,50.66
1005385,2010,62289.7,29.75,35.462
1003380,2010,106917.8,37.75,72.414
1002916,2010,1036304.0,2389.0,4094.52
1001945,2010,212921.0,188.5,402.598
1003215,2010,48801.0,23.0,27.416
1005935,2010,170290.0,424.25,729.206
1005940,2010,38331.0,18.0,21.754
1002795,2010,200267.3,95.0,119.2
1007937,2010,171535.6,81.75,99.532
1002483,2010,293267.4,39.0,46.488
1004649,2010,48411.8,22.5,29.8
1003456,2010,542.363618,40359.45775,1.186636
1006659,2010,656185.0,858.75,1415.798
1007566,2010,666618.3,822.25,1430.996
1005866,2010,28106.0,13.25,15.794
1002442,2010,71534.6,34.75,41.72
1006199,2010,44560.7,21.0,25.032
1005801,2010,48216.6,12.25,14.602
1006203,2010,113757.4,53.75,64.07
1002209,2010,489567.1,577.5,972.97
1006644,2010,79315.0,37.5,44.7
1006797,2010,54048.4,25.5,30.396
1005721,2010,73577.5,35.0,417.2
1006785,2010,184060.5,332.75,578.12
1003208,2010,68064.1,32.0,38.74
1002968,2010,29701.4,14.0,66.752
1003235,2010,29537.0,14.0,66.156
1002515,2010,60651.664,28.6,33.972
1002689,2010,nan,8525.0,nan
1002494,2010,61969.0,29.25,34.866
1002486,2010,66001.5,31.25,36.952
1002190,2010,602809.0,118.75,143.04
1003975,2010,47849.0,22.75,27.118
1006137,2010,259.0,0.25,0.298
1002665,2010,944231.3,560.5,968.5
1002421,2010,651213.0,1575.0,2604.52
1002527,2010,453844.8,592.75,1013.498
1007552,2010,518055.5,611.0,1057.9
1002531,2010,223762.9,288.25,507.494
1002537,2010,239341.0,375.0,208.6
1007606,2010,674145.7,668.0,1153.26
1002479,2010,27465.8,13.0,15.496
1004576,2010,1275531.0,605.5,748.576
1007800,2010,257.695904,291907.036525,0.63027
1006056,2010,nan,91960.0,nan
1006778,2010,63316.6,30.75,38.74
1005442,2010,63596.6,30.0,35.76
1002570,2010,29228.3,13.75,16.39
1002571,2010,48020.1,26.0,38.144
1003772,2010,39692.0,72.0,105.492
1001858,2010,272.2,112067.5,nan
1003826,2010,494.129073,187039.30085,0.486634
1003034,2010,92.3,24841.0,nan
1005000,2010,35945.7,17.0,20.264
1006344,2010,39.0,91908.25,nan
1005945,2010,4932.6,10.5,18.178
1007346,2010,244479.1,4844.0,123976.94
1006132,2010,354.313372,88417.331525,0.690764
1005770,2010,207383.5,97.75,116.518
1003033,2010,110.1,61961.75,0.298
1003328,2010,nan,60997.5,nan
1003082,2010,34054.7,16.0,19.072
1007682,2010,nan,105657.237475,nan
1000378,2010,26546.3,12.5,14.9
1003205,2010,27496.4,13.0,15.794
1007357,2010,nan,83297.5,nan
1001347,2010,1225135.7,568.0,677.056
1000125,2010,1042005.5,483.25,576.034
1003446,2010,345.1,165013.0,0.596
1000603,2010,326840.6,1.25,2.98
1000089,2010,125764.0,71.25,107.28
1006553,2010,125726.5,59.25,70.626
1002316,2010,161399.6,75.75,90.294
1002156,2010,126720.6,59.75,71.222
1006844,2010,97009.3,45.75,54.534
1006845,2010,1353203.8,638.25,760.794
1003702,2010,33023.9,15.5,18.476
1002315,2010,48893.1,23.0,27.416
1006405,2010,228681.8,107.75,128.438
1005790,2010,210346.9,99.5,118.604
1006914,2010,461796.7,217.25,258.962
1005635,2010,44785.8,21.0,25.032
1006846,2010,135127.6,64.0,76.288
1002155,2010,15054.7,7.0,8.642
1006556,2010,129855.5,60.25,71.818
1000857,2010,61419.7,29.0,34.568
1011305,2010,26536.1,nan,nan
1002188,2010,7613.0,3.5,161502.292
1007206,2010,19701.2,9.0,10.728
