Symbol,market_cap,pe_ratio,peg_ratio,eps_ratio,pb_ratio,ps_ratio,curr_ratio,ebit_ratio,roe_ratio
AGS,384613520.00,,-0.17,-2.195,8.424821,2.308264,,,
AGTC,182990510.00,,,-2.269,2.7136617,,,,
AGX,775534803.00,31.589405,2.33,1.51,2.335831,1.9118748,,,
AGYS,1314919563.00,,1557.4,-1.108,15.452723,9.073267,,,
AHAC,143076150.00,,,,,,,,
AHC,36344188.00,,,-0.374,3.3746898,0.9656414,,,
AHCO,3418518982.00,,1.12,,,3.3293688,,,
AHH,809369487.00,36.342106,9.73,0.38,2.3167255,2.2187915,,,
AHPI,17338480.00,,,-0.08,1.6985952,0.4225123,,,
AHT,1024571843.00,,-0.24,-33,,1.3719007,,,
AIG,44937182285.00,,0.32,-6.875,0.67588246,1.0283589,,,
AIKI,94007703.00,,,,,,,,
AIM,88508727.00,,-0.29,-5.873,1.0130719,636.6474,,,
AIMC,4200372134.00,32.923073,1.32,2.015,2.1549454,2.436764,,,
AIN,2828511000.00,24.749931,-25.06,3.619,3.524574,3.2609162,,,
AINC,73104228.00,,,-108.3,,0.6100446,,,
AINV,969751355.00,,3.3,-1.188,0.9262347,4.347623,,,
AIR,1421962587.00,276.10736,4.4,0.149,1.5414013,0.89078236,,,
AIRG,206731153.00,,2.23,-0.34,4.5204916,4.5494485,,,
AIT,3716511773.00,33.796516,1.82,2.929,4.1144686,1.2549943,,,
AIV,1140504496.00,113.88059,-2.36,0.067,2.1856203,7.4469843,,,
AIZ,9857825187.00,22.50418,0.75,7.176,1.6822752,0.97102106,,,
AJG,29778557542.00,33.511715,2.62,4.354,4.2462606,4.035392,,,
AKAM,19198790576.00,32.7873,1.48,3.559,4.4082203,5.8047357,,,
AKBA,589223800.00,,,-2.709,2.616753,2.1811423,,,
AKRO,1028414083.00,,,-2.495,4.0361786,,,,
AKTS,514824263.00,,,-1.103,4.5310493,110.41206,,,
AKUS,472988916.00,,-0.46,,,,,,
AKYA,753714783.00,,,,,18.596094,,,
AL,5257712398.00,11.443877,1,3.92,0.79642093,2.5871227,,,
ALB,20352784800.00,49.32259,1.64,3.351,3.3570976,5.9924464,,,
ALBO,619989747.00,,,-6.956,4.296095,72.84086,,,
ALCO,242926297.00,9.17269,,3.735,1.1543905,2.559703,,,
ALDX,724424222.00,,-0.16,-1.024,4.7770224,,,,
ALEC,1545888569.00,,0.4,-2.565,7.8508925,99.1949,,,
ALF,40648588.00,,,,,5296.0264,,,
ALGM,5173999601.00,,2.93,,,8.61368,,,
ALGN,46334464663.00,103.3906,1.91,5.763,13.894551,16.746078,,,
ALGS,1140413794.00,,,,,1408.752,,,
ALGT,3854966066.00,,0.45,-8.997,4.704142,4.318628,,,
ALHC,4464606963.00,,1.09,,,5.0012226,,,
ALK,8168495257.00,,0.98,-9.877,2.767173,2.9182744,,,
ALKT,2743958607.00,,,,,22.45576,,,
ALL,39821025133.00,11.521644,20.54,11.366,1.5938439,0.8274219,,,
ALLK,4945020853.00,,2.4,-3.58,7.675286,,,,
ALLO,3520060530.00,,-18.46,-1.813,3.3430312,93.312836,,,
ALLY,20272520537.00,9.082333,1.02,5.83,1.3461294,2.5972686,,,
ALNA,72689476.00,,,-0.921,3.0750606,,,,
ALNY,18502764746.00,,-0.49,-7.55,21.31729,34.649387,,,
ALPN,219059834.00,,,-1.492,4.162186,19.406752,,,
ALRM,4030416549.00,48.62997,2.5,1.635,7.198081,6.1956,,,
ALRN,125555709.00,,-2.44,-0.439,1.894273,,,,
ALSN,4599786824.00,17.860033,0.34,2.472,6.3662586,2.3801239,,,
ALT,580944235.00,,,-1.9,2.5464106,92.80841,,,
ALTA,866248964.00,20.405405,2.32,2.22,2.443761,7.004421,,,
ALTM,1128966505.00,247.8014,0.89,0.282,,7.6498423,,,
ALTO,458791260.00,,0.42,,,0.5009227,,,
ALTR,4902999644.00,,2.27,-0.143,12.414606,9.709836,,,
ALTU,367500000.00,,,,,,,,
ALVR,1386246531.00,,,,,,,,
ALX,1451593964.00,25.829239,,10.787,7.000854,7.073058,,,
ALXN,39602225631.00,58.6011,1.46,3.081,3.2120621,6.3729687,,,
ALXO,2410976049.00,,,,,2022.7266,,,
AM,4916786164.00,14.369863,-0.68,0.73,2.1226225,5.260699,,,
AMAL,511803022.00,10.178117,,1.572,0.92336106,2.4970622,,,
AMAO,133866350.00,,,,,,,,
AMAT,123067508795.00,32.762493,0.83,4.181,10.956647,6.905901,,,
AMBA,3491049022.00,,1.43,-1.724,7.5812006,16.473618,,,
AMBC,725294517.00,,-1.71,-9.47,0.6824737,4.4777794,,,
AMCX,2792989587.00,13.8857765,-0.55,4.64,4.3308463,0.98111165,,,
AMD,97153077241.00,33.6314,1.39,2.382,15.0272,8.521735,,,
AME,31338041375.00,35.91512,-24.62,3.77,5.2464347,6.8832865,,,
AMED,8457600339.00,40.03466,3.11,6.059,10.023554,3.7321794,,,
AMEH,2356610223.00,52.445545,,1.01,6.7650065,4.239319,,,
AMG,6697673771.00,19.771095,0.73,8.082,2.567526,3.2061436,,,
AMGN,137617170727.00,19.84428,2.44,12.073,14.766102,5.470182,,,
AMHC,124125000.00,,,,,,,,
AMKR,5645528231.00,14.336609,0.25,1.628,2.337038,1.0909497,,,
AMP,30218720053.00,,1.24,-0.532,5.346361,2.392339,,,
AMPE,352240430.00,,,-0.079,20.930231,,,,
AMPG,51203317.00,,,-0.45,3.4838712,15.891062,,,
AMPY,146209610.00,,0.31,-3.089,,0.76311934,,,
AMR,411017439.00,,,-24.013,2.6427336,0.32112038,,,
AMRC,3002908792.00,52.040474,1.96,1.186,5.031385,2.9516978,,,
AMRK,558370723.00,3.2968721,,16.273,1.9362639,0.084147505,,,
AMRS,4646048617.00,,-0.38,-2.525,,14.370708,,,
AMS,17461010.00,,,-1.11,1.0161387,1.1185504,,,
AMSC,447987289.00,,-2.04,-0.95,3.623669,4.9232216,,,
AMST,45449901.00,,,,,137.6566,,,
AMSWA,924653040.00,100.916664,5.11,0.24,6.488079,7.110668,,,
AMT,121408401122.00,61.83991,2.73,4.31,30.52686,14.766857,,,
AMTI,1737836818.00,,-0.65,,,,,,
AMTX,471216975.00,,,-1.905,,2.6283536,,,
AMWL,3311791386.00,,-0.58,,,13.214973,,,
AMZN,1654761826376.00,64.97565,1.61,52.562,16.659756,4.109447,,,
AN,7766300797.00,9.624706,0.5,9.779,2.371438,0.35024872,,,
ANAT,3957258096.00,4.6438756,,31.913,0.6124043,0.89631563,,,
ANDE,1113931679.00,18.79415,1.98,1.812,1.1457843,0.12587085,,,
ANF,2570281875.00,15.908757,0.58,2.718,2.8454857,0.7777104,,,
ANGI,7086862600.00,1552.2223,-2.43,0.009,5.7560773,4.6625366,,,
ANGN,394520480.00,,,,,197.17448,,,
ANGO,977842090.00,,29.15,-4.425,2.1347554,3.5296338,,,
ANIK,653794987.00,,100.52,-1.889,2.4631324,5.27747,,,
ANNX,871150303.00,,-0.29,,,,,,
ANSS,28485491635.00,62.174244,5,5.257,6.9264026,16.375324,,,
ANTM,94498698818.00,20.650846,1.13,18.691,2.7927427,0.75827193,,,
ANVS,482835196.00,,,,,,,,
AON,55452811688.00,26.762417,1.71,9.121,12.961291,4.8435135,,,
AONE,274931250.00,,,,,,,,
AOS,10981625134.00,28.404829,3.15,2.401,5.918597,3.6146855,,,
AOUT,455613568.00,,,,,1.7181937,,,
AP,127660103.00,27.79661,,0.236,1.5489964,0.38145915,,,
APA,8632899551.00,1074.762,-0.32,0.021,,1.7171599,,,
APAM,4136248567.00,13.356385,0.43,4.049,19.089306,4.3357086,,,
APD,65807794616.00,35.761845,2.61,8.486,5.277551,7.2510953,,,
APDN,48210613.00,,,-2.502,2.3432477,8.67126,,,
APH,40721535161.00,32.659473,2.51,2.085,7.4453316,4.465071,,,
APLE,3643360541.00,,,-0.971,1.2145145,6.9761157,,,
APLS,4732405167.00,,-0.18,-4.7,92.975075,19.16988,,,
APLT,574835026.00,,,-4.278,6.2970085,,,,
APO,13288668078.00,133.11363,0.58,0.44,15.316423,6.1245604,,,
APOG,1001955871.00,65.661026,1.09,0.59,2.0216043,0.81150496,,,
APP,29264977675.00,,,,,21.167677,,,
APPF,4781331506.00,30.626125,21.65,4.44,16.353579,15.110044,,,
APPH,1888771569.00,,,,,668.7367,,,
APPN,7606775069.00,,,-0.485,27.762154,27.091719,,,
APPS,6659209592.00,167.33011,1.03,0.412,54.97608,23.90623,,,
APR,963646222.00,,-0.31,,,0.84921527,,,
APRE,105934135.00,,,-26.67,,,,,
APRN,101446901.00,,0.1,-3.057,1.2116137,0.17008246,,,
APSG,1008760350.00,,,,,,,,
APTS,549537751.00,,-0.48,-6.953,0.36130098,1.0670018,,,
APTX,193613410.00,,,-1.024,1.456437,143.87352,,,
APVO,118491117.00,,,-5.235,7.8335986,30.431177,,,
APXT,491051200.00,,,,,,,,
APYX,347983131.00,,-1.25,-0.348,5.4144244,12.458521,,,
AQB,433236799.00,,,-0.451,2.8067634,3232.261,,,
AQMS,234747801.00,,-0.57,-0.406,5.9454546,2472.2217,,,
AQST,149661869.00,,,-1.658,,3.2383997,,,
AQUA,3951918239.00,58.981815,2.47,0.55,7.687204,2.761549,,,
ARAV,109279835.00,,-0.03,-1.934,1.7866942,18.017252,,,
ARAY,393100451.00,94.6,-0.71,0.05,5.617577,1.1598432,,,
ARC,95236327.00,16.785713,,0.14,0.6789945,0.38193265,,,
ARCB,1549024003.00,16.786226,0.62,3.485,1.7431986,0.4840492,,,
ARCC,8781842767.00,5.676768,-12.52,3.465,1.1262525,5.66148,,,
