Symbol,market_cap,pe_ratio,peg_ratio,eps_ratio,pb_ratio,ps_ratio,curr_ratio,ebit_ratio,roe_ratio
BKE,1954213972.00,10.421286,-1.23,4.059,4.7041817,1.9410967,,,
BKEP,165872500.00,3.9823012,,1.017,0.43651652,1.5040821,,,
BKNG,94998672451.00,134.39156,0.35,17.101,19.80362,16.701855,,,
BKTI,40994260.00,65.2,,0.05,1.882217,0.97739965,,,
BKU,4430898379.00,13.61039,1.3,3.465,1.4364909,4.982094,,,
BKYI,31985661.00,,,-1.16,1.621514,7.5731063,,,
BLCM,28048662.00,,,-3.493,,56.937084,,,
BLD,6441021558.00,24.329788,0.85,7.714,4.410396,2.2100532,,,
BLDE,708050985.00,,,,,26.763582,,,
BLDR,9064162966.00,12.635215,0.62,3.402,1.7840542,0.81344396,,,
BLI,3136713245.00,,,,,43.510235,,,
BLK,132841343687.00,25.192709,1.64,34.508,3.7505445,7.8493147,,,
BLL,26555790749.00,35.163826,2.13,2.289,7.5627174,2.2046998,,,
BLMN,2602660184.00,,4.3,-0.629,64.75,0.8043003,,,
BLNK,1665507660.00,,,-0.662,7.0812488,240.5897,,,
BLUE,2223745658.00,,0.07,-9.564,1.8412627,9.148748,,,
BLUW,73029600.00,,,,,,,,
BLW,610178617.00,16.481834,,1.046,1.01801,14.356443,,,
BMBL,5529924425.00,,0.5,,,15.492674,,,
BME,586943049.00,7.199098,,6.655,1.0492084,109.28198,,,
BMEA,600385384.00,,,,,,,,
BMI,2726451877.00,55.114285,3.38,1.75,7.608267,6.470727,,,
BMRA,48593520.00,,,-0.47,4.466357,5.3397555,,,
BMRC,444084975.00,13.750532,2.12,2.349,1.2231605,4.1849394,,,
BMRN,14994028115.00,19.647451,-4.76,4.198,3.6200843,8.172042,,,
BMTC,949619496.00,15.4192705,2.19,3.041,1.4941211,4.1489425,,,
BMY,146027981577.00,,1.09,-2.764,3.9733999,3.4903443,,,
BNED,474227367.00,,-0.2,-2.612,1.494476,0.35034302,,,
BNFT,451921938.00,,-3.37,-0.865,,1.7400271,,,
BNGO,2166661516.00,,,-0.394,42.054054,255.08896,,,
BNL,3588429112.00,,,,,11.161935,,,
BNTC,39714413.00,,,-5.8,1.3567215,438.64328,,,
BNY,193343503.00,31.470587,,0.476,0.9787012,15.79242,,,
BOAC,762412500.00,,,,,,,,
BOCH,250949674.00,13.703703,1.66,1.08,1.3987335,4.262998,,,
BOLT,600669289.00,,,,,9136.049,,,
BOMN,972462661.00,7.518907,,4.099,1.8034992,19.174757,,,
BOOM,1117456913.00,,3.87,-0.343,4.2573395,5.2010612,,,
BOOT,2225463706.00,36.328358,2,2.01,5.408889,2.3905687,,,
BOWX,730537500.00,,,,,,,,
BOX,4009499523.00,,3.47,-0.914,182.51799,6.105863,,,
BOXL,148212914.00,,,-0.379,3.357314,1.925156,,,
BPMC,4840596495.00,15.129972,0.16,5.655,3.5615866,6.1691103,,,
BPMP,1546767410.00,10.025576,2.18,1.564,13.165407,12.857478,,,
BPT,99296000.00,,,-0.049,,-1758.8126,,,
BPTH,42805009.00,,,-2.298,1.5195209,,,,
BRBR,1131578744.00,8.6735935,1.1,3.272,,1.0665891,,,
BRKS,7151060166.00,77.62058,3.66,1.244,5.584085,7.155236,,,
BRMK,1450350567.00,,,,,12.634385,,,
BRN,25576424.00,,,-0.375,,1.5166819,,,
BRP,2655312758.00,,0.86,-0.076,3.3966496,8.153394,,,
BRT,314031934.00,,,-1.092,1.9012269,14.268826,,,
BRY,543179399.00,,5.04,-2.113,0.8014423,1.3023674,,,
BSET,298477032.00,,1.05,-0.774,1.9267036,0.78398734,,,
BSM,2081746670.00,53.434345,3.61,0.198,2.9735806,7.6810074,,,
BSQR,36467119.00,,,-0.173,4.4574294,0.8863419,,,
BST,1467640176.00,,,,,,,,
BSVN,161529220.00,8.666667,,2.1,1.4740423,3.7654393,,,
BSX,60147156492.00,303.4752,1.65,0.141,3.8671489,6.0067906,,,
BSY,17353186327.00,,9.94,,,21.483799,,,
BTAI,956460133.00,,0.13,-4.058,4.8331356,,,,
BTBT,367947138.00,,,,,6.493282,,,
BTRS,2399079331.00,,,,,19.5388,,,
BTT,1817633620.00,17.671232,,1.46,0.98069024,19.480444,,,
BTU,881208075.00,,0.08,-18.579,0.99156123,0.30966836,,,
BTX,638562783.00,,,,,,,,
BTZ,1425554735.00,8.70115,,1.74,0.9639628,14.38348,,,
BUI,520181750.00,,,,,,,,
BUSE,1442229670.00,11.851852,1.96,2.241,1.1403056,3.7350497,,,
BV,1841780000.00,,0.59,-0.394,1.4207786,0.7461276,,,
BVH,452160730.00,,1.89,,,0.87889117,,,
BVS,993306698.00,,,,,3.061228,,,
BW,743256723.00,79.41748,-68.72,0.103,,1.1943762,,,
BWA,12740712905.00,21.957266,0.58,2.34,1.9098243,1.2081553,,,
BWAC,145528997.00,,,,,,,,
BWB,485746955.00,16.4061,0.72,1.049,1.7343544,5.6387677,,,
BWEN,96470622.00,,2.95,-0.09,1.9408579,0.43712732,,,
BWFG,229429356.00,22.041763,,1.293,1.1710083,4.0358825,,,
BWG,216614684.00,,,,,,,,
BWMN,119632860.00,,,,,,,,
BWXT,6105207916.00,22.007019,3.66,2.85,9.092491,2.828645,,,
BX,66385274168.00,18.000366,1.21,5.471,8.41278,4.783744,,,
BXC,414794920.00,4.962573,0.11,8.55,6.7942357,0.116082236,,,
BXMT,4924066415.00,17.676283,-5.48,1.872,1.2529345,12.253972,,,
BXMX,1514463478.00,14.98426,,0.953,1.0383945,54.53776,,,
BXP,19100366960.00,41.005795,6.16,2.933,3.2500134,6.9682746,,,
BXRX,59686923.00,,,,,79.30231,,,
BYD,6993847349.00,60.82922,1.92,1.013,5.6115108,3.0677907,,,
BYFC,188637486.00,,,-0.15,2.0449028,18.620617,,,
BYND,9468980021.00,,19.73,-1.31,35.80897,22.64859,,,
BYRN,360948821.00,,,,,14.356191,,,
BYSI,346095788.00,,0.09,-2.033,5.1705804,2535.3594,,,
BZH,691287531.00,8.420843,1.66,2.514,1.0017034,0.30136913,,,
C,161519093135.00,9.803814,0.43,7.289,0.8104062,2.2781608,,,
CABA,211890831.00,,,-10.966,,,,,
CABO,10697761202.00,35.695133,2.02,50.343,6.7748685,8.061619,,,
CACC,7028463911.00,10.470526,0.5,40.019,3.0059469,5.323655,,,
CADE,2766394778.00,9.3133955,,2.374,1.3175615,3.5427003,,,
CAG,17906817533.00,15.238682,2.23,2.43,2.1537833,1.5237244,,,
CAH,16991062605.00,14.896314,1.5,3.906,9.459437,0.10782565,,,
CAI,682647179.00,13.603803,0.68,3.155,1.1805154,2.4294798,,,
CAKE,2863589488.00,,-5.26,-3.239,8.03739,1.278945,,,
CAL,1049644538.00,,0.54,-2.379,5.268026,0.45302293,,,
CALA,167348173.00,,-0.04,-1.217,1.7503924,,,,
CALB,150381296.00,23.390875,,0.811,1.1162764,3.3177855,,,
CALM,1790578374.00,26.317322,4.23,1.374,1.7380437,1.2162571,,,
CALX,2896918691.00,47.693123,2.05,0.945,9.001398,4.708546,,,
CAMP,481760833.00,,2.37,-1.642,4.9499817,1.5257796,,,
CAPR,102950685.00,,,-0.864,2.7568924,608.7013,,,
CAR,6183902038.00,,0.32,-9.992,,1.2220072,,,
CARA,692219312.00,49.517242,,0.29,3.1169958,5.574964,,,
CARE,372129268.00,,,-1.552,1.0999659,3.6527114,,,
CARG,2908068679.00,33.671055,1.24,0.76,5.881407,5.3012094,,,
CARV,46099096.00,,,-1.34,1.4110616,2.1133583,,,
CASA,757818455.00,27.861357,,0.339,9.910808,1.9377629,,,
CASH,1715020616.00,15.152683,,3.504,2.0321112,3.7941878,,,
CASI,237655728.00,,,-0.459,2.3882682,13.682838,,,
CASY,7570477182.00,24.761335,3.39,8.38,3.9850967,0.8804844,,,
CAT,128538255217.00,35.289413,1.24,6.254,7.2944207,2.8115487,,,
CATB,49409883.00,,,-9.986,,,,,
CATO,378442666.00,217.86665,,0.075,1.332029,0.5370164,,,
CBAN,171453033.00,11.761635,1.13,1.59,1.2379849,2.2200146,,,
CBAY,318760467.00,,,-0.805,2.5877905,,,,
CBFV,119882290.00,,1.42,-1.97,0.8895173,2.3528743,,,
CBH,189705981.00,,,,,,,,
CBIO,140062304.00,,0.08,-2.932,1.2579895,22.440765,,,
CBLI,84305750.00,,,-0.193,,727.8631,,,
CBMB,51194819.00,57.307693,,0.26,0.96073246,6.142803,,,
CBNK,298845336.00,9.188256,,2.316,1.753172,1.9394816,,,
CBRE,29886934006.00,35.242874,1.83,2.491,3.997541,1.2341869,,,
CBRL,3737140854.00,75.25062,0.46,2.015,5.91081,1.4207304,,,
CBSH,8918042311.00,21.046059,-2.27,3.604,2.6807802,6.7584176,,,
CBT,3557756109.00,,0.24,-2.551,4.228863,1.2402391,,,
CBTX,716431930.00,24.65355,,1.169,1.2916815,5.645396,,,
CBU,4311199553.00,24.629404,2.84,3.292,2.215785,7.313084,,,
CBZ,1747440480.00,19.718225,1.34,1.668,2.3913043,1.7706864,,,
CC,6270136812.00,28.452566,0.37,1.286,7.122834,1.1851931,,,
CCAP,519687792.00,,,,,7.163231,,,
CCB,364428675.00,19.808203,,1.512,2.4468956,5.554244,,,
CCBG,446069211.00,12.136986,2.09,2.19,1.3806357,2.0186644,,,
CCCC,1814204784.00,,,,,48.705982,,,
CCD,772311301.00,,,,,,,,
CCF,956553080.00,25.563416,,4.1,3.0926528,3.7453854,,,
CCI,85180257330.00,92.57756,3.54,2.095,9.389977,14.197706,,,
CCIV,6854287500.00,,,,,,,,
CCK,13448077023.00,19.448486,1.54,5.222,5.6858134,1.1516764,,,
CCL,36251958712.00,,0.05,-13.02,1.6728561,41.94827,,,
CCLP,99780179.00,,-0.45,-1.561,,0.3301762,,,
CCMP,4486952906.00,33.402912,1.88,4.599,4.0403986,3.974531,,,
CCNE,410295391.00,11.057208,,2.185,1.1299224,2.543613,,,
CCO,1332457916.00,,-2.22,-1.371,,0.8153162,,,
CCRN,640368393.00,71.68776,0.86,0.237,3.5813658,0.6697313,,,
CCS,2484613603.00,7.440134,0.65,8.352,1.5253946,0.60199195,,,
CCXI,779800181.00,,,-0.935,2.5444357,13.267696,,,
CDAY,12865784014.00,,8.75,-0.222,5.8848276,14.90633,,,
CDE,2715078295.00,63.963413,-0.48,0.164,3.5451164,3.3116987,,,
CDEV,1784116844.00,,-0.47,-0.609,0.74934554,3.3189363,,,
CDLX,3621628642.00,,-8.08,-2.397,4.6093154,18.256336,,,
CDMO,1417914410.00,,13.3,-0.004,17.320028,18.291033,,,
CDNA,4685376580.00,,15.76,-0.28,10.121709,21.623869,,,
CDNS,34835995350.00,54.786327,3.32,2.34,14.030863,12.736185,,,
CDR,208237490.00,,-3.42,-0.654,0.5868782,1.5608311,,,
CDW,23247149133.00,28.472456,2.01,5.918,20.215958,1.2489228,,,
CDXC,694949966.00,,,-0.344,15.100464,11.136849,,,
CDXS,1367183612.00,,-2.31,-0.419,7.825916,17.694666,,,
CE,18278011837.00,8.554535,0.53,17.842,4.8535633,2.8685427,,,
CECE,294094277.00,50.1875,1.12,0.16,1.3907169,0.9300232,,,
CEI,29797183.00,,,-1.501,4.4604793,158.82402,,,
CELC,340458236.00,,-0.54,-0.957,9.654209,,,,
CELH,5248429391.00,583.4259,4.36,0.108,41.950733,30.751656,,,
CEMI,64985018.00,,-0.17,-1.262,2.6956522,1.8278233,,,
CENX,1178347299.00,,2.58,-2.905,2.941306,0.73767984,,,
CEQP,1978587804.00,,-27.36,-2.093,3.2160997,0.82398194,,,
CERC,339879761.00,,,-0.895,10.143679,77.2936,,,
CERN,24114404952.00,30.359879,2.01,2.612,5.5493355,4.3588476,,,
CERT,4026419887.00,,2.72,,,16.84107,,,
CETX,30499685.00,,,-1.365,0.75385493,0.5450116,,,
CF,11905577172.00,28.131042,-2.93,1.862,3.709369,2.674672,,,
CFG,20632056902.00,13.447502,-3.57,3.562,0.9861852,3.382863,,,
CFIV,617855000.00,,,,,,,,
CFMS,168972983.00,,0.44,-0.34,10.504202,3.316342,,,
CFR,7542191182.00,18.904623,1.82,6.144,1.7900074,5.895009,,,
CFRX,167557391.00,,-0.28,-1.237,9.140969,,,,
CFV,310219000.00,,,,,,,,
CFX,6142559094.00,111.484184,0.96,0.411,1.4630563,1.9827056,,,
CG,15509006049.00,8.903379,0.9,5.061,4.6144395,2.6116974,,,
CGBD,757435279.00,172.12502,4.7,0.08,0.8947368,4.1443605,,,
CGEM,1419060836.00,,,-5.483,,63.127407,,,
CGNX,13943184310.00,79.54,3.66,1,11.077994,17.320854,,,
CGO,146301987.00,10.405928,,1.552,1.3466188,33.749947,,,
CGRN,109133857.00,,-0.51,,,1.5367965,,,
CHCI,56422911.00,24.041668,,0.24,10.490909,1.5516881,,,
CHCO,1240442008.00,15.715711,2.11,5.016,1.792039,5.753929,,,
CHCT,1233797276.00,62.891113,,0.799,2.65606,15.95871,,,
CHD,20733088555.00,27.350649,3.5,3.08,6.431516,4.1572633,,,
CHDN,7674059190.00,,0.09,-0.573,36.90199,6.7272243,,,
CHE,7695606374.00,23.09932,3.57,20.127,7.9462643,3.54622,,,
CHEF,1246203293.00,,-2.15,-2.449,3.6877384,1.1899053,,,
CHH,6751179199.00,90.570366,1.19,1.35,,9.190886,,,
CHI,1055346367.00,5.0681105,,2.863,1.1568205,19.709364,,,
CHK,5427387432.00,,3.71,,1.3645308,1.0533383,,,
CHMA,240882379.00,,-0.06,-1.573,3.819188,79.1169,,,
CHRA,180439184.00,,-0.43,-1.654,11.7358055,0.8467841,,,
CHRS,1022658453.00,,-1.31,-1.06,8.304696,2.4812868,,,
CHRW,13165878330.00,21.752089,1.71,4.429,6.871122,0.7446347,,,
CHS,687693671.00,,-2.13,-1.642,4.2757554,0.47268307,,,
CHTR,138608146265.00,38.550274,0.99,17.693,6.1286526,2.6325855,,,
CHUY,809042509.00,53.42683,1.89,0.82,3.5045197,2.7870827,,,
CHX,5401938490.00,,-6.71,,,2.4358776,,,
CI,82912626000.00,10.185671,0.97,23.267,1.6946499,0.50207317,,,
CIA,251490282.00,,,-0.218,1.0728533,1.0837162,,,
CIDM,280461858.00,,-0.23,-0.609,26.785713,8.058888,,,
CIEN,9310124290.00,24.506199,1.99,2.339,3.298044,2.6120713,,,
CIM,3601271709.00,6.956912,-3.9,2.228,1.0020688,3.4153686,,,
CINF,19515246000.00,6.3901563,1.89,18.854,1.7415439,1.9680558,,,
CIT,5285185024.00,18.543486,1.16,2.863,0.9940831,2.2739546,,,
CKPT,251012716.00,,,-0.433,4.0643272,1334.1271,,,
CL,69843182477.00,26.660772,3.06,3.11,267.46774,4.1956887,,,
CLAR,798824757.00,72.41477,1.64,0.352,3.792026,3.247576,,,
CLBS,96983302.00,,-0.05,-0.524,0.8472747,,,,
CLDB,106130697.00,11.180285,,2.313,1.3435861,3.5748243,,,
CLDT,677247598.00,,-5.38,-0.969,0.92531353,6.052788,,,
CLDX,1190419872.00,,,-1.81,5.6702714,204.8167,,,
CLF,11596121127.00,,0.15,-0.068,4.734643,1.251266,,,
CLFD,551921473.00,37.87166,,0.935,5.4118905,4.4178176,,,
CLII,367712500.00,,,,,,,,
CLM,901776970.00,8.41829,,1.334,1.1313721,73.39932,,,
CLMT,490153112.00,,-0.6,-3.508,,0.2505753,,,
CLNE,2763882944.00,,-2.76,-0.101,4.174795,8.426287,,,
CLNN,727024413.00,,,,,1866.3481,,,
CLNY,3989804675.00,,,-5.617,3.1763766,2.8640847,,,
CLOV,7456644000.00,,,,,7.302408,,,
CLPR,126417604.00,,,-0.305,3.093203,0.9991351,,,
CLPT,320919581.00,,-1.29,,,28.344194,,,
CLR,13032776845.00,,-1.08,-0.421,2.0887594,4.8449483,,,
CLRB,78562154.00,,,-0.762,1.6601307,,,,
CLRM,348593750.00,,,,,,,,
CLRO,49192525.00,82.06897,,0.029,0.89709765,1.4712543,,,
CLSD,177342473.00,,,-0.392,24.142012,61.321087,,,
CLSK,452442076.00,,,-2.059,6.488473,41.69804,,,
CLSN,108197170.00,,,-0.672,2.888403,228.51231,,,
CLVR,294143468.00,,,,,22.216469,,,
CLVS,659805011.00,,-0.03,-4.379,,3.862104,,,
CLW,471673133.00,6.301518,12.52,4.61,0.92392343,0.26671118,,,
CLX,21852166550.00,24.197582,7.58,7.197,29.146442,2.8794715,,,
CLXT,168518143.00,,,-1.323,4.221105,6.030869,,,
CMA,10625928610.00,12.138436,-0.96,6.14,1.3409741,3.5501046,,,
CMC,3955150343.00,14.473685,-2.92,2.166,1.8802855,0.6740525,,,
CMCO,1424687492.00,134.61539,1.14,0.364,2.3617873,1.799105,,,
CMCSA,258474710111.00,22.577074,1.04,2.53,2.8345988,2.5194495,,,
CME,77389033262.00,41.06004,6.05,5.33,2.9554355,17.07478,,,
CMG,37399881885.00,97.48668,1.08,14.272,18.678328,6.2017293,,,
CMI,37540435953.00,19.423609,0.91,12.665,4.4353094,1.7215173,,,
CMLF,691796875.00,,,,,,,,
CMO,660502746.00,8.598971,0.97,0.778,0.99258167,6.0133324,,,
CMRX,755211969.00,,,-1.954,5.451613,130.88148,,,
CMS,17347311431.00,20.046589,3.07,3.005,3.0451927,2.5274782,,,
CMTL,576568027.00,,-0.51,-3.108,1.255634,1.0542301,,,
CNC,41758774120.00,17.344162,1.24,4.187,1.6063529,0.39130273,,,
CNDT,1703356732.00,,-0.47,-0.429,1.4548099,0.4104135,,,
CNK,2774547701.00,,-1.85,-6.491,5.1346416,10.463412,,,
CNMD,3886710038.00,301.3122,3,0.442,5.337234,4.397198,,,
CNP,14959378132.00,23.50829,3.73,1.086,2.217686,1.9004954,,,
CNR,2339434273.00,39.5,0.37,0.46,4.9903874,0.47879073,,,
CNSL,655064300.00,,3.55,-0.581,2.3348885,0.5837031,,,
CNST,1613087500.00,,,-3.038,4.297143,,,,
CNX,3180700100.00,,0.34,-0.274,0.69883287,2.5772893,,,
CNXC,7683005088.00,,0.72,,,1.5982934,,,
COCP,124760006.00,,,-0.166,1.7857143,81.5901,,,
CODI,1682208000.00,,1.72,-0.085,2.1565695,0.99718815,,,
CODX,258002748.00,4.913194,,1.728,3.191729,2.6162038,,,
COF,72509188486.00,10.602693,1.73,15.298,1.3150854,3.0051095,,,
COFS,198987226.00,10.285006,,2.421,0.8879221,2.5727932,,,
COG,6882217197.00,24.367647,0.26,0.68,2.870258,4.3896008,,,
COGT,301904699.00,,,,,420.68423,,,
COHN,30601473.00,2.9840815,,7.664,0.5414812,0.14731434,,,
COHR,6477435899.00,,5.53,-17.362,6.769057,5.223834,,,
COHU,1749307095.00,50.163937,0.29,0.732,2.143858,2.445215,,,
COIN,46807090572.00,,,,,33.26975,,,
COKE,4161917916.00,22.337158,,18.3,7.469256,0.7652107,,,
COLB,3018463792.00,15.612018,2.29,2.696,1.311215,5.2720056,,,
COLD,9914663709.00,349.45453,8.32,0.11,2.5526261,4.8832464,,,
COLI,422193750.00,,,,,,,,
COLL,811752643.00,29.868422,27.09,0.76,4.223256,2.5776937,,,
COLM,6686681070.00,40.60089,0.79,2.463,3.5511365,2.5970602,,,
COMM,4348916266.00,,0.32,-3.2,11.916572,0.5073729,,,
COMS,185043794.00,,,,,19.436943,,,
CONE,9960953716.00,196.23656,1.59,0.372,3.4209661,8.2352495,,,
CONN,849398571.00,,0.23,-0.11,1.483949,0.59921676,,,
COO,18340427570.00,8.407078,3.07,45.382,3.1275516,7.6069355,,,
COOL,486000000.00,,-0.4,,,,,,
COOP,2950133374.00,3.1278963,0.24,10.79,1.0013945,0.78104955,,,
COP,80533293335.00,10046.666,-1.71,0.006,1.8849281,3.5720637,,,
COR,5825736178.00,67.29293,131.42,1.98,133.64093,9.280924,,,
CORE,2089724630.00,31.543625,5.02,1.49,3.3545072,0.15597606,,,
CORR,95151101.00,,-4.36,-12.128,11.14374,2.2621207,,,
CORT,2553045848.00,29.25641,-0.77,0.78,5.2041044,7.8265247,,,
COST,167968571816.00,35.59639,3.33,10.639,10.159075,0.8970137,,,
COTY,6741742339.00,,-20.89,-1.139,2.275666,1.6332134,,,
COUP,15954426797.00,,-108.42,-3.773,17.044737,28.946878,,,
COWN,1036274769.00,3.286672,0.44,11.93,1.0470518,0.5340944,,,
CPB,13914189352.00,17.294834,6.29,2.632,4.60822,1.5836163,,,
CPE,2342390368.00,,2.35,-69.984,3.0194123,2.1070888,,,
CPIX,48912581.00,,1.35,-0.14,1.034777,1.2243444,,,
CPRT,28987963360.00,35.416077,1.54,3.521,9.078996,11.946061,,,
CPRX,585040715.00,8.485294,,0.68,3.352702,4.964261,,,
CPS,526923506.00,,2.81,-11.275,0.9475123,0.22604562,,,
CPSH,117727499.00,356.81818,,0.022,16.88172,5.868898,,,
CPT,12975184274.00,120.53571,23.36,1.12,3.9597573,12.361397,,,
CPTA,70731764.00,3.520034,3.24,7.088,0.55762917,2.7838175,,,
CQP,20406330546.00,20.251997,2.48,2.004,26.613115,3.0636294,,,
CRBP,276322943.00,,,-1.086,2.8210382,91.46072,,,
CRCT,8007673288.00,,1.63,,,6.6122217,,,
CRDF,305674330.00,,,,,811.95264,,,
CREE,11062099862.00,,3.94,-3.737,4.839729,11.807141,,,
CREX,23946040.00,,,-0.226,3.2142859,1.4220091,,,
CRF,463792770.00,8.774194,,1.24,1.1381943,73.27011,,,
CRIS,1189958536.00,,,-0.479,6.0135136,71.080734,,,
CRK,1399109512.00,,0.33,-1.172,1.3410119,1.5576789,,,
CRKN,53048119.00,,,,,,,,
CRL,17382950891.00,45.79576,2.22,7.364,7.7542477,5.5721154,,,
CRM,218619340000.00,50.28885,6.12,4.743,5.183189,9.882305,,,
CRMD,307093383.00,,,-0.761,3.8541667,1222.2205,,,
CRMT,983943923.00,11.55184,0.9,14.95,2.814996,1.2432384,,,
CRNC,4362258108.00,,2.88,,,12.070376,,,
CRNX,684199352.00,,,-2.436,4.1837864,,,,
CROX,6860936943.00,18.765936,1.49,5.883,22.071173,4.601883,,,
CRS,2167701490.00,,-0.77,-6.022,1.462999,1.3550078,,,
CRSR,2920498194.00,,1.66,,,1.5990386,,,
CRT,60450000.00,14.9615965,,0.651,7.8738885,12.58993,,,
CRTD,46375969.00,,,,,23.71465,,,
CRTX,1395392764.00,,-0.7,-2.805,9.55585,,,,
CRUS,4484679482.00,22.312155,1.88,3.62,3.3524258,3.3933864,,,
CRVL,2179573889.00,46.811768,,2.55,9.682051,3.855716,,,
CRVS,106883647.00,,,-0.156,1.1323051,,,,
CRWD,48312181721.00,,8.25,-0.425,60.182472,59.952843,,,
CRWS,79651835.00,10.616438,1.98,0.73,1.8248174,0.9962533,,,
CRY,1124849805.00,,-64.58,-0.342,3.8895464,4.48463,,,
CSBR,124126894.00,,14.67,-0.1,15.051021,3.021193,,,
CSCO,228060855249.00,22.372385,2.78,2.39,5.7693143,4.700352,,,
CSCW,98488726.00,,,,,43.433216,,,
CSGP,33502773401.00,148.64551,3.59,5.862,6.3155756,19.951113,,,
CSGS,1432331018.00,25.093405,-2.88,1.82,3.4243083,1.5085489,,,
CSII,1580376274.00,,-3.03,-0.552,5.976809,7.099293,,,
CSL,9737957799.00,32.818085,1.38,5.706,4.0322995,2.3028877,,,
CSOD,3361614723.00,,1.15,-0.629,12.243421,4.193829,,,
CSPI,49981363.00,238.04347,,0.046,1.498153,0.89476484,,,
CSQ,2787360660.00,12.277433,,1.449,1.337594,33.73163,,,
CSR,998522084.00,,-7.67,,,5.715945,,,
CSSE,422599682.00,,,-3.622,16.599733,7.839492,,,
CSTL,1776499540.00,,,-0.207,14.958523,26.559748,,,
CSTR,498675980.00,13.533742,,1.63,1.4168272,3.9166613,,,
CSU,88735368.00,,0.71,-144.082,,0.27291343,,,
CSV,704704000.00,20.933552,0.96,1.821,2.722857,1.9703159,,,
CSWC,580797209.00,30.81049,,0.839,1.6427301,7.5458055,,,
CSWI,1847986204.00,38.59127,2.48,3.024,4.5357375,4.3573513,,,
CSX,74088889129.00,27.551716,1.53,3.529,5.5998387,6.986245,,,
CTAS,36545906172.00,37.95972,2.62,9.136,9.544779,5.279855,,,
CTEK,28847261.00,,-0.26,-1.601,1.0809371,1.3722878,,,
CTG,149013489.00,18.613138,1.3,0.548,1.9592777,0.4168714,,,
CTIC,236936818.00,,,-0.771,6.8876085,,,,
CTLP,873958037.00,,,,,5.620289,,,
CTLT,18277648637.00,36.928547,2.23,2.953,5.0013757,4.94379,,,
CTMX,458328467.00,,6.77,-1.22,3.0142474,6.594623,,,
CTO,332310509.00,2.7271805,,19.72,0.90404785,5.5008664,,,
CTRE,2294774626.00,27.331003,4.39,0.858,2.432068,12.626977,,,
CTRN,789450294.00,11.31421,0.86,7.495,5.2462263,0.82382023,,,
CTS,1213710467.00,29.313501,1.88,1.311,2.8532186,2.7661312,,,
CTSH,37578096735.00,24.59944,1.68,2.846,3.34928,2.194207,,,
CTSO,358641974.00,,,-0.208,4.4257703,7.977932,,,
CTT,611296638.00,,,-0.283,4.3534026,5.63883,,,
CTXR,337330128.00,,,-0.345,3.4768567,,,,
CTXS,14660403003.00,35.82394,2.06,3.283,58.107708,4.6337247,,,
CUBI,1368412256.00,8.457817,0.45,4.753,1.3343512,2.419652,,,
CUK,30586280619.00,,-0.33,-13.02,1.4351826,35.027435,,,
CULP,212811493.00,,8.22,-2.124,1.637741,0.7843284,,,
CURI,786916598.00,,0.14,,,18.121538,,,
CUTR,825181750.00,,2.86,-0.675,18.905516,4.7680483,,,
CVA,2345640686.00,458.1579,4.03,0.038,7.982577,1.1970321,,,
CVBF,3028274696.00,14.352469,1.44,1.498,1.4461559,6.1972528,,,
CVCO,2033447637.00,32.64637,0.81,6.832,3.098251,1.9398886,,,
CVET,3752110928.00,,2.82,-0.073,2.500897,0.8702241,,,
CVGI,369870427.00,,0.68,-0.132,3.529052,0.48997352,,,
CVGW,1206078000.00,,3.18,-0.428,4.658558,1.205554,,,
CVI,2343368263.00,,0.41,-2.07,1.9850379,0.4567876,,,
CVLT,3638374509.00,,2.82,-0.664,9.064527,4.888445,,,
CVM,862310980.00,,,-0.903,30.933147,4070.1738,,,
CVNA,45597046904.00,,0.82,-2.046,61.124233,7.154331,,,
CVS,111842440641.00,15.221728,2.47,5.615,1.5839511,0.41659012,,,
CVX,207806218313.00,,-3.69,-4.124,1.6124552,2.2189126,,,
CW,5177048945.00,25.35239,0.12,5.037,2.8444147,2.1899662,,,
CWEN,5562619672.00,126.388885,,0.216,1.737636,4.4738855,,,
CWH,3528662385.00,11.963765,0.21,3.091,58.328075,0.60111034,,,
CWST,3392034445.00,34.625134,8.71,1.894,9.021873,4.3118014,,,
CWT,2903186850.00,25.392328,2.91,2.294,3.1846263,3.6267085,,,
CXDO,112882150.00,11.956522,,0.46,3.8381019,5.9514475,,,
CXE,169585934.00,211.20001,,0.025,1.0116881,14.740734,,,
CXH,92468987.00,21.10647,,0.479,0.9396784,15.515494,,,
CXP,2188256831.00,18.832117,,0.959,0.8006384,7.1857777,,,
CXW,1337479306.00,26.6,-3.16,0.45,1.0301205,0.770233,,,
CYAN,18699723.00,13.880596,,0.201,0.99147123,0.5393242,,,
CYBE,256062110.00,41.22497,1.28,0.849,3.8010426,3.5771255,,,
CYCC,64638770.00,,,-3.419,1.1945906,,,,
CYCN,164917309.00,,,-2.217,2.6708949,96.257256,,,
CYH,2024377814.00,4.2635226,2.48,3.605,,0.17245407,,,
CYRN,56314132.00,,-0.2,-0.286,3.4693878,1.4356416,,,
CYRX,2718960261.00,,,-1.945,6.3051915,22.435465,,,
CYTH,57545882.00,,,,,69.31291,,,
CYTK,1544522219.00,,-0.63,-1.973,13.644334,26.622646,,,
CZNC,400537944.00,16.126534,,1.549,1.3319825,4.143556,,,
CZR,23130068387.00,,-1.25,-13.515,4.4417253,4.7611227,,,
